week_number,day_of_week_name,pickup_neighborhood,demand,est_real_demand,predicted_demand
1,Friday,Airport,13.0,22830.73,22264.07592582777
1,Friday,Astoria,4.0,7024.84,3404.0359948014234
1,Friday,Battery Park City-Lower Manhattan,10.0,17562.1,17800.520471483607
1,Friday,Central Harlem North-Polo Grounds,1.0,1756.21,2327.341579157488
1,Friday,Chinatown,9.0,15805.89,14667.974321990436
1,Friday,Clinton,17.0,29855.57,25434.35580856272
1,Friday,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1.0,1756.21,3607.681865626791
1,Friday,East Village,15.25,26782.2025,23405.27472771348
1,Friday,Forest Hills,1.0,1756.21,2072.920833097118
1,Friday,Fort Greene,1.0,1756.21,2790.1660757408004
1,Friday,Gramercy,12.0,21074.52,18884.6809957812
1,Friday,Greenpoint,1.0,1756.21,2474.7987026648943
1,Friday,Hudson Yards-Chelsea-Flatiron-Union Square,18.75,32928.9375,34293.68076504566
1,Friday,Hunters Point-Sunnyside-West Maspeth,3.0,5268.63,4840.011348999519
1,Friday,Lenox Hill-Roosevelt Island,13.0,22830.73,24917.17035654459
1,Friday,Lincoln Square,12.5,21952.625,22502.26071062871
1,Friday,Lower East Side,4.0,7024.84,5438.1854071932985
1,Friday,Midtown-Midtown South,20.4,35826.684,40352.54378136084
1,Friday,Morningside Heights,5.0,8781.05,9304.268006643257
1,Friday,Murray Hill-Kips Bay,13.333333333333334,23416.133333333335,26037.207921479137
1,Friday,North Side-South Side,1.0,1756.21,4532.985536017452
1,Friday,SoHo-TriBeCa-Civic Center-Little Italy,17.5,30733.675,26962.437117526944
1,Friday,Turtle Bay-East Midtown,16.5,28977.465,29763.912636170608
1,Friday,Upper East Side-Carnegie Hill,16.75,29416.5175,28105.67685377605
1,Friday,Upper West Side,15.5,27221.255,24792.182664714182
1,Friday,West Village,16.833333333333332,29562.868333333332,28552.61401823756
1,Friday,Woodside,1.0,1756.21,2180.8075969989677
1,Friday,Yorkville,10.5,18440.205,22237.018340359155
1,Friday,park-cemetery-etc-Manhattan,7.0,12293.470000000001,12340.764765427337
1,Friday,park-cemetery-etc-Queens,1.0,1756.21,2312.2669923455965
