week_number,day_of_week_name,pickup_neighborhood,demand,est_real_demand,drivers_needed,drivers_needed_pred
1,Friday,Airport,13.0,22830.73,2095,2042.813194566796
1,Friday,Astoria,4.0,7024.84,644,316.58360147101206
1,Friday,Battery Park City-Lower Manhattan,10.0,17562.1,1611,1629.4576609639175
1,Friday,Central Harlem North-Polo Grounds,1.0,1756.21,161,216.2301125059744
1,Friday,Chinatown,9.0,15805.89,1450,1368.29686310488
1,Friday,Clinton,17.0,29855.57,2739,2338.829602685548
1,Friday,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1.0,1756.21,161,325.965016943328
1,Friday,East Village,15.25,26782.2025,2457,2139.7821778105954
1,Friday,Forest Hills,1.0,1756.21,161,187.17461311519247
1,Friday,Fort Greene,1.0,1756.21,161,250.7249735683293
1,Friday,Gramercy,12.0,21074.52,1933,1742.751314144388
1,Friday,Greenpoint,1.0,1756.21,161,225.7575035304885
1,Friday,Hudson Yards-Chelsea-Flatiron-Union Square,18.75,32928.9375,3021,3145.6644215371307
1,Friday,Hunters Point-Sunnyside-West Maspeth,3.0,5268.63,483,441.2760226361902
1,Friday,Lenox Hill-Roosevelt Island,13.0,22830.73,2095,2293.0899999139656
1,Friday,Lincoln Square,12.5,21952.625,2014,2070.05127043448
1,Friday,Lower East Side,4.0,7024.84,644,509.877033045434
1,Friday,Midtown-Midtown South,20.4,35826.684,3287,3717.946933653885
1,Friday,Morningside Heights,5.0,8781.05,806,854.331224979026
1,Friday,Murray Hill-Kips Bay,13.333333333333334,23416.133333333335,2148,2387.1025749623773
1,Friday,North Side-South Side,1.0,1756.21,161,421.0616057660994
1,Friday,SoHo-TriBeCa-Civic Center-Little Italy,17.5,30733.675,2820,2461.8472856234944
1,Friday,Turtle Bay-East Midtown,16.5,28977.465,2658,2730.833578729176
1,Friday,Upper East Side-Carnegie Hill,16.75,29416.5175,2699,2581.570457123515
1,Friday,Upper West Side,15.5,27221.255,2497,2281.259900410162
1,Friday,West Village,16.833333333333332,29562.868333333332,2712,2615.074499106243
1,Friday,Woodside,1.0,1756.21,161,201.83083933493887
